# size poiret_one oxanium_medium oxanium_bold
10 0.30530 0.11902 0.13558
11 0.28993 0.11477 0.15240
12 0.24832 0.09433 0.13979
13 0.22179 0.12829 0.10431
14 0.20888 0.12819 0.09576
15 0.18989 0.13223 0.08973
16 0.16783 0.12035 0.09392
17 0.15469 0.11781 0.10114
18 0.14404 0.11872 0.09678
19 0.13392 0.11417 0.09510
20 0.13066 0.10243 0.10579
21 0.13507 0.08804 0.08540
22 0.12407 0.07135 0.08730
23 0.10738 0.07041 0.06431
24 0.10250 0.07031 0.06501
25 0.09627 0.07531 0.06379
26 0.08918 0.07627 0.06692
27 0.08530 0.07766 0.06450
28 0.07977 0.07651 0.06629
29 0.08111 0.07108 0.05700
30 0.08004 0.07253 0.06012
31 0.07864 0.06324 0.05329
32 0.08037 0.06262 0.05656
33 0.07836 0.05475 0.05624
34 0.07462 0.05229 0.05297
35 0.06738 0.05158 0.05557
36 0.06302 0.05205 0.05164
37 0.06036 0.05324 0.04964
38 0.06216 0.05790 0.04395
39 0.06384 0.05371 0.04161
40 0.06410 0.05392 0.04138
41 0.06502 0.04858 0.04562
42 0.06502 0.04868 0.04375
43 0.06239 0.04547 0.04380
44 0.05894 0.04587 0.03901
45 0.05676 0.04456 0.04187
46 0.05543 0.04179 0.03998
47 0.05584 0.04136 0.03819
48 0.05567 0.04301 0.03684
49 0.05433 0.04593 0.03777
50 0.05531 0.04573 0.03970
51 0.05239 0.04055 0.04042
52 0.05077 0.03821 0.03487
53 0.04639 0.03642 0.03256
54 0.04677 0.03678 0.03382
55 0.04683 0.03728 0.03470
56 0.04892 0.03530 0.03315
57 0.04955 0.03406 0.03109
58 0.05093 0.03375 0.03040
59 0.04897 0.03693 0.03024
60 0.05034 0.03994 0.03040
