# size poiret_one oxanium_medium oxanium_bold
10 0.68817 0.56471 0.76863
11 0.72727 0.56471 0.76863
12 0.64865 0.70000 0.87843
13 0.53846 0.64314 0.92549
14 0.53846 0.76863 0.98824
15 0.51613 0.76863 1.00000
16 0.49327 0.80000 1.00000
17 0.66109 0.84706 1.00000
18 0.59459 0.92549 1.00000
19 0.54878 0.97255 1.00000
20 0.56098 1.00000 1.00000
21 0.61364 1.00000 1.00000
22 0.58537 1.00000 1.00000
23 0.59574 1.00000 1.00000
24 0.60938 1.00000 1.00000
25 0.60417 1.00000 1.00000
26 0.57436 1.00000 1.00000
27 0.68860 1.00000 1.00000
28 0.53846 1.00000 1.00000
29 0.58491 1.00000 1.00000
30 0.68246 1.00000 1.00000
31 0.59322 1.00000 1.00000
32 0.63466 1.00000 1.00000
33 0.60000 1.00000 1.00000
34 0.63576 1.00000 1.00000
35 0.63793 1.00000 1.00000
36 0.68421 1.00000 1.00000
37 0.66102 1.00000 1.00000
38 0.70588 1.00000 1.00000
39 0.58039 1.00000 1.00000
40 0.69020 1.00000 1.00000
41 0.66275 1.00000 1.00000
42 0.79630 1.00000 1.00000
43 0.77049 1.00000 1.00000
44 0.70588 1.00000 1.00000
45 0.73016 1.00000 1.00000
46 0.78431 1.00000 1.00000
47 0.78431 1.00000 1.00000
48 0.82353 1.00000 1.00000
49 0.83137 1.00000 1.00000
50 0.80000 1.00000 1.00000
51 0.89764 1.00000 1.00000
52 0.87843 1.00000 1.00000
53 0.76863 1.00000 1.00000
54 0.91732 1.00000 1.00000
55 0.87843 1.00000 1.00000
56 0.87843 1.00000 1.00000
57 0.92549 1.00000 1.00000
58 0.92157 1.00000 1.00000
59 0.96371 1.00000 1.00000
60 0.93333 1.00000 1.00000
